"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"BEKI",-1.40273647382988,0.757271137350777,0.01690215352696,0.144998045373666,0.333147594139993,0.663390656952862,"Apparantly stable","Carkeek Park","Wetland","Widespread","Alcedinidae","landbird","other","M","native",148,"Carnivore","Aquatic predator","Riverine",3
"BEWR",-0.886647452514027,0.393609065137127,0.0283998311533592,-0.1189141035065,0.0543311852355711,0.0286194038094191,"Apparantly stable","Carkeek Park","Aridlands","Temperate North America","Troglodytidae","landbird","other","R","native",9.9,"Carnivore","Invertivore","Shrubland",2
"BHCO",-1.29271633578802,0.805554195583681,0.140831361443351,-0.467629863110225,0.24737938566434,0.0587131965060843,"Apparantly stable","Carkeek Park","Habitat Generalist","Temperate North America","Icteridae","landbird","other","M","native",40.3,"Carnivore","Invertivore","Forest",2
"BHGR",-0.984433462563218,0.548249019759418,0.143044584227671,0.309198939195678,0.185453394433281,0.095462810159232,"Apparantly stable","Carkeek Park","Western Forest","Mexico-Central America","Cardinalidae","landbird","other","M","native",47.1,"Carnivore","Invertivore","Forest",2
"BRCR",-1.0271178380141,0.628609343827514,0.0715430734437838,0.241168258463067,0.064985168573128,0.000206337981888171,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Certhiidae","landbird","other","M","native",8.1,"Carnivore","Invertivore","Forest",1
"BTPI",-1.14168737835517,0.880252202333033,0.0473303422349963,-0.345452143780558,0.102224881629438,0.000726613483869958,"Apparantly stable","Carkeek Park","Western Forest","Mexico-Central America","Columbidae","landbird","other","M","native",366.3,"Herbivore","Granivore","Forest",2
"BTYW",-1.10778417524139,0.638972133672833,0.35144614464046,0.542139269909324,0.129008403808394,2.64151009280559e-05,"Increasing","Carkeek Park","Western Forest","Mexico-Central America","Parulidae","landbird","other","M","native",8.7,"Carnivore","Invertivore","Forest",1
"BUSH",-0.999965759135682,0.604712815503776,0.305727270477743,-0.483239648168607,0.104161023758275,3.49503415992112e-06,"Decreasing","Carkeek Park","Western Forest","Temperate North America","Aegithalidae","landbird","other","R","native",5.3,"Carnivore","Invertivore","Woodland",2
"CANG",-1.73725928327898,0.959703380629041,0.00117471135068361,0.0938173395575145,0.377960582459707,0.803964266871131,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",2811.7,"Herbivore","Herbivore terrestrial","Grassland",3
"CATE",-0.990098660801121,NA,0.610255146571607,0.687570710372123,0.41102188855667,0.0943603051174952,"Apparantly stable","Carkeek Park","Coasts","Widespread","Laridae","waterbird","other","M","native",655,"Carnivore","Aquatic predator","Wetland",3
"CBCH",-0.906770814219518,0.545169975679858,0.0595411818350722,0.198808981173053,0.058893383821459,0.000736164095334537,"Apparantly stable","Carkeek Park","Western Forest","Temperate North America","Paridae","landbird","other","R","native",9.4,"Omnivore","Invertivore","Forest",1
"CEDW",-1.53951041950004,0.890997571882737,0.00131592875356435,-0.0603739984548686,0.271076307565547,0.823753769821717,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Bombycillidae","landbird","other","M","native",31.6,"Herbivore","Frugivore","Woodland",2
"COGO",-1.91968742222353,0.99700497672038,0.0024776837731091,-0.49977516850582,0.343664933525812,0.145876653272305,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",918.6,"Carnivore","Aquatic predator","Wetland",3
"COHA",-1.26705240488708,0.766006411369959,0.166188402530267,-0.46307380514532,0.19566650193436,0.0179499785356346,"Apparantly stable","Carkeek Park","Forest Generalist","Widespread","Accipitridae","landbird","other","M","native",429.7,"Carnivore","Vertivore","Woodland",2
"CORA",-1.4926505822237,0.917096270905145,0.780602931958069,1.68608666358566,0.552982926557832,0.00229546826231675,"Increasing","Carkeek Park","Habitat Generalist","Widespread","Corvidae","landbird","other","R","native",928,"Omnivore","Omnivore","Forest",3
"DCCO",-1.07186633986046,NA,0.23199847604582,-0.302004463945618,0.397474686242251,0.447369333868727,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Phalacrocoracidae","waterbird","other","M","native",1806.49,"Carnivore","Aquatic predator","Marine",3
"DEJU",-0.51826031920085,0.867984410943277,0.707927909113942,1.27242954713506,0.102475326085542,2.11508294175088e-35,"Increasing","Carkeek Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",19.5,"Herbivore","Granivore","Forest",2
"DOWO",-1.01464229065619,0.34245504829896,3.09090058891207e-06,-0.00119132877553643,0.0876583584612741,0.989156612183872,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",25.6,"Carnivore","Invertivore","Woodland",2
"EUST",-1.54943772356535,0.948310654032617,0.921841209048116,-2.3204882727158,0.758915618006944,0.00223089835858715,"Decreasing","Carkeek Park","Introduced","Introduced","Sturnidae","other","other","Introduced","Introduced",77.1,"Omnivore","Omnivore","Human Modified",3
"EVGR",-0.991059760304658,NA,0.198128734707174,-0.27313241500597,0.394932908972251,0.489193627408237,"Apparantly stable","Carkeek Park","Boreal Forest","Temperate North America","Fringillidae","landbird","other","M","native",57.3,"Herbivore","Omnivore","Forest",1
"FOSP",-1.63330951101969,0.945952452449232,0.142530979781559,-0.89231558084123,0.523062232170346,0.0880182558017435,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",33.3,"Omnivore","Omnivore","Forest",1
"GBHE",-0.832878029348457,0.765449819460847,0.176588289684494,0.47677656628766,0.157662160546183,0.00249424052823196,"Apparantly stable","Carkeek Park","Wetland","Widespread","Ardeidae","waterbird","other","M","native",2523.4,"Carnivore","Aquatic predator","Wetland",3
"GCKI",-0.747994497173333,0.581595165513462,0.0358244123995154,0.160784073742336,0.0482130725762948,0.000853409118878511,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Regulidae","landbird","other","M","native",6.2,"Carnivore","Invertivore","Forest",1
"GCSP",-1.18745698985263,0.571309967237135,0.00953008918912191,0.0819272970238268,0.446877775119618,0.854536999471335,"Apparantly stable","Carkeek Park","Arctic Tundra","Temperate North America","Passerellidae","landbird","other","M","native",32,"Herbivore","Omnivore","Shrubland",2
