"","source","park","species","beta_yr","se_yr","p_yr","r2","disp"
"155","Discovery Park","Discovery Park","WCSP",-0.333722698104147,0.0453928415570241,1.95439066379061e-13,0.0175180758309282,0.498726947576883
"156","Discovery Park","Discovery Park","WEFL",0.384851899701359,0.0364486795157069,4.62863695980089e-26,0.0331001194430536,0.728299870045366
"157","Discovery Park","Discovery Park","WEGR",-1.38816392086662,0.359040324489247,0.000110491036819994,0.0300655858649624,2.16266542626874
"158","Discovery Park","Discovery Park","WETA",0.225969667590221,0.144518057098369,0.117909529182401,0.010973040020872,2.44975211002237
"159","Discovery Park","Discovery Park","WEWP",-0.165376356095562,0.164921311314212,0.315977076634937,0.00656418114452032,4.67494181042383
"160","Discovery Park","Discovery Park","WIFL",-0.181882037964657,0.168686669205596,0.280933743781193,0.00393110986838934,0.466168071648083
"161","Discovery Park","Discovery Park","WIWA",0.252506332621579,0.0593972063744592,2.12677283857018e-05,0.0185098774574303,1.18412483704059
"162","Discovery Park","Discovery Park","YEWA",-0.0902744187554936,0.154990385533337,0.560262443592039,0.0014529015508788,0.829735221634079
"163","Discovery Park","Discovery Park","YRWA",-0.0217516428765802,0.073156175328424,0.766213356344497,0.000146878323505022,1.33319080875046
"164","Genesee Park","Genesee Park","AGOL",-0.829900943863755,0.342925804397526,0.0155179561485402,0.165331703837829,0.881278423811697
"165","Genesee Park","Genesee Park","AMCO",0.228268149633463,0.240472526909808,0.342494315437921,0.000446309435300556,0.114773952444042
"166","Genesee Park","Genesee Park","AMCR",0.241025623803438,0.0472874618937634,3.45023209739695e-07,0.132231729481318,1.28844760761672
"167","Genesee Park","Genesee Park","AMRO",-0.0297514543713697,0.098711864502809,0.763111823805351,0.000424149649641681,0.859331095104026
"168","Genesee Park","Genesee Park","AMWI",0.164728189005449,0.14927764548062,0.269809198312755,0.000753002952676564,0.262584611191211
"169","Genesee Park","Genesee Park","ANHU",0.406779103349977,0.0997143768040295,4.51437624120464e-05,0.039038496512037,0.784145032924606
"170","Genesee Park","Genesee Park","BAEA",0.104883965105544,0.174914514034474,0.548752944138656,0.00245758352317917,0.942037999965529
"171","Genesee Park","Genesee Park","BARS",-0.233377857842191,0.0964838268554842,0.0155705670608069,0.0247194611885629,0.739312316474754
"172","Genesee Park","Genesee Park","BCCH",0.45394366329962,0.111765439667792,4.87428513523814e-05,0.0477922984552563,0.603822855275842
"173","Genesee Park","Genesee Park","BEWR",0.158491303728857,0.0924961695169093,0.0866223476021637,0.00275394668947935,0.601660538993215
"174","Genesee Park","Genesee Park","BHCO",-0.164683662565494,0.407000707370809,0.68575137043471,NA,5.7463241892067
"175","Genesee Park","Genesee Park","BUFF",-0.128801291042658,0.123789675838658,0.298114666239891,0.000123187167845617,0.193606963523
"176","Genesee Park","Genesee Park","BUSH",-0.173126081104954,0.211903835980208,0.4139266828885,0.00787268427985388,0.625308057895346
"177","Genesee Park","Genesee Park","CAGU",-0.0705704756656722,0.145582234367896,0.62785619138047,8.74779497191438e-05,0.437057536205063
"178","Genesee Park","Genesee Park","CANG",0.262871938270823,0.125256199516627,0.035845641800045,0.00586379994694146,0.639113520312591
"179","Genesee Park","Genesee Park","CATE",0.416584190102072,0.277485512988837,0.133282466993074,0.0328016458663581,1.02605700515721
"180","Genesee Park","Genesee Park","CEDW",-0.614914368002257,0.278845822031496,0.0274391674075933,0.085147974541037,0.896810720210636
