PARK,YEAR,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Discovery Park,2022,10743416.01,8457170.586,8214983.57,6577799.344,1046247.907,474686.5506,3109681.281,736248.5275,5512176.476,590936.3181,19374.96125,2673744.652,900935.6981,474686.5506
Genesee Park,2022,2150620.699,1114060.272,2063433.373,3061243.877,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2022,4640303.219,1821246.357,2073120.854,2150620.699,242187.0156,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2022,1869683.761,96874.80625,1143122.714,1094685.311,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2022,3884679.731,1859996.28,2199058.102,3681242.638,96874.80625,213124.5738,0,2567182.366,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2022,8166546.167,5744676.011,5725301.049,4378741.242,1123747.752,0,0,0,0,9687.480625,0,29062.44188,0,9687.480625
Seward Park,2022,9997480.005,1763121.474,1404684.691,668436.1631,0,0,0,4998740.003,1307809.884,29062.44188,9687.480625,0,9687.480625,58124.88375
Washington Park Arboretum,2022,0,7391547.717,3564992.87,1811558.877,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2023,2702807.094,3962179.576,3458430.583,3933117.134,523123.9537,232499.535,135624.7288,397186.7056,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2023,0,4795302.909,1918121.164,3874992.25,503748.9925,0,0,0,0,0,0,0,0,0
Discovery Park,2023,10753103.49,8437795.624,8195608.609,6577799.344,1007497.985,532811.4344,3109681.281,794373.4113,5512176.476,523123.9537,19374.96125,2712494.575,900935.6981,455311.5894
Genesee Park,2023,2150620.699,1114060.272,2063433.373,3061243.877,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2023,4553115.894,1821246.357,2111870.776,2179683.141,242187.0156,38749.9225,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2023,1889058.722,96874.80625,1123747.752,1094685.311,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2023,3845929.808,1859996.28,2199058.102,3700617.599,96874.80625,232499.535,0,2567182.366,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2023,8176233.647,5754363.491,5705926.088,4378741.242,1123747.752,0,0,0,0,19374.96125,0,19374.96125,0,9687.480625
