"","spp","disp","r2","beta_yr","se_yr","p_yr","park"
"444","LISP","0.468756479256431","0.114973362053307","-0.509466399814888","0.163064965157802","0.00178219243558944","Magnuson Park"
"445","MALL","1.60260690526959","0.00400526812440172","-0.0382616843233854","0.0488185934095068","0.433185474325647","Magnuson Park"
"446","MAWR","8.17151164631254","0.0147396205080803","0.229843645793983","0.150895139872813","0.127708396421952","Magnuson Park"
"447","MERL","-1.28278124356326","0.0101993524983123","0.218550395547948","0.455166734958913","0.631117475841312","Magnuson Park"
"448","NOFL","-0.568593953927056","0.163987456048661","-0.260469345300964","0.0567852281024647","4.4983117506896e-06","Magnuson Park"
"449","NSHO","1.35827729837268","0.0148692978613931","-0.192788581315323","0.162668915102607","0.23595445942141","Magnuson Park"
"450","OCWA","-0.806737558322403","0.114338561015948","-0.437908806256637","0.150682450984053","0.00365882702302593","Magnuson Park"
"451","OLGU","-0.380599859881793","0.0200298819069055","0.257349221669176","0.263823316583099","0.329331890950829","Magnuson Park"
"452","OSPR","-0.502576422311722","0.330274778697245","1.00401971638848","0.202565597127588","7.17682899848229e-07","Magnuson Park"
"453","PAWR","-0.507454937036736","0.0168673565941522","0.110335032355083","0.0864826883759433","0.20202451643284","Magnuson Park"
"454","PBGR","-0.900364469999178","0.0471550485695257","-0.300391668168182","0.169940957474742","0.0771238291478682","Magnuson Park"
"455","PISI","1.96836351238805","0.0388295631270522","0.322012412571767","0.163061762997202","0.048292211580435","Magnuson Park"
"456","PUFI","-1.02331251268634","0.102649648809205","0.695540057092945","0.418781744058664","0.0967405074893643","Magnuson Park"
"457","RBGU","-0.663745896924951","3.45702705966122e-05","-0.00508895959494702","0.0898392758933562","0.954827864781747","Magnuson Park"
"458","RBME","-1.36873248281761","0.0233602414424456","-0.32463924034219","0.433964545023368","0.454413234148859","Magnuson Park"
"459","RBNU","-1.58478069067657","0.411058736971506","1.05391471345643","0.20931385796718","4.77617223601946e-07","Magnuson Park"
"460","RCKI","-0.619874720313456","0.0196946789444818","-0.0765447694989811","0.0507831573343729","0.131737226238372","Magnuson Park"
"461","RNDU","-0.355108788822622","0.01272612931964","-0.187339761462899","0.221433012880021","0.397534019584633","Magnuson Park"
"462","RNGR","-0.372880548825026","0.0821173296388519","-0.479177041187335","0.225761313302799","0.0337962729416975","Magnuson Park"
"463","ROPI","-0.623305878299667","0.323687198163243","-0.858994071375159","0.161392251511492","1.0240724964286e-07","Magnuson Park"
"464","RTHA","-1.13346927946939","0.253353278858996","-0.738961674688873","0.177523776926636","3.14634948248243e-05","Magnuson Park"
"465","RUHU","-1.18975315105255","0.13572851830645","-0.666478855598548","0.276045247188452","0.0157618993631432","Magnuson Park"
"466","RWBL","0.461349675214085","0.426251428416686","-0.572512873049794","0.0612788388354117","9.38638691299478e-21","Magnuson Park"
"467","SAVS","0.561955597612689","0.228379166363277","-0.369887493181857","0.060648418381505","1.06813474541939e-09","Magnuson Park"
"468","SBIG","0.928455077439394","0.12662729746672","0.446500214103235","0.115850585653913","0.000116154182186333","Magnuson Park"
"469","SOSP","0.77131252108575","0.0455576434573823","0.091109493982178","0.0337684161922517","0.0069743125515745","Magnuson Park"
"470","SPSA","-1.19354935550274","0.0998797785541523","-0.558927814353514","0.274347204698414","0.0416198950434715","Magnuson Park"
"471","SPTO","-0.421796159298172","0.200991496759262","0.191872641254282","0.0334042394568225","9.24872195945081e-09","Magnuson Park"
"472","SSHA","-1.439482307806","0.331766244993577","-1.60947236379073","0.655109385808439","0.0140180927606743","Magnuson Park"
"473","STJA","-1.14017693190459","0.0640865269337995","-0.301128726780936","0.144669505774103","0.0373887010094441","Magnuson Park"
"474","SWTH","-0.914431781733612","0.108750036252474","0.728097350758351","0.422742980766062","0.0850121405002737","Magnuson Park"
"475","TRES","1.28895812958938","0.00209532051626715","-0.0375363020825598","0.0721822594294112","0.603048828877442","Magnuson Park"
"476","VASW","-0.398735703338057","0.324036899559588","-0.669998636422697","0.108909605462969","7.65706360227625e-10","Magnuson Park"
"477","VATH","-0.219822268560347","0.0568701022433444","0.453483055258568","0.290676639360062","0.118737527603411","Magnuson Park"
"478","VGSW","1.21355831725801","0.00968891999083099","-0.0733040723164749","0.062538632595073","0.241140599182544","Magnuson Park"
"479","VIRA","0.499536425963094","0.00400923826816846","0.125375391882162","0.281587357127586","0.65614263528497","Magnuson Park"
"480","WAVI","-1.2823065780234","0.0293755442871956","0.229275521457806","0.177875954121087","0.197410953925521","Magnuson Park"
"481","WCSP","1.62845346079345","0.0321596708020742","-0.189579461027995","0.0958600104998962","0.0479659537332841","Magnuson Park"
"482","WEFL","-1.28691759370574","0.447789002558432","1.36806499295346","0.305123825693469","7.33808679172829e-06","Magnuson Park"
"483","WEGR","0.128496839230788","0.0464916306772274","-0.321063010386371","0.177577975547784","0.0706047208876322","Magnuson Park"
"484","WETA","-0.872457905979704","0.140785385451667","0.79180820516834","0.38026313782977","0.0373183712176818","Magnuson Park"
"485","WEWP","0.672335474616785","9.55315777595445e-08","0.000536251733075024","0.227797681435576","0.99812172546864","Magnuson Park"
"486","WIFL","-1.24489037046442","0.218360032948062","-0.689233941671454","0.186981567236117","0.000227711226671733","Magnuson Park"
"487","WIWA","0.378478942321533","3.2801264981952e-07","-0.000648198072401531","0.119962023586238","0.995688762975133","Magnuson Park"
"488","YEWA","-0.795913965220929","0.0889760693696509","-0.42274247081616","0.17700198200346","0.0169242708730169","Magnuson Park"
"489","YRWA","-0.715898897611587","0.0573578048791619","0.168871058461629","0.0679355697766789","0.0129277593852401","Magnuson Park"
"490","AGOL","-0.246026265803958","0.0379113432477592","-0.281226807937421","0.175948056793221","0.1099648131038","Seward Park"
"491","AMCO","-1.17128879764496","0.221972996763956","-0.727320821806036","0.203759684877955","0.000357659019103068","Seward Park"
"492","AMCR","6.56890986187089","0.0380737213542389","-0.135553005193062","0.0429560998295677","0.00160158935788657","Seward Park"
"493","AMRO","2.20824287385998","0.018493538643203","-0.0713043274404905","0.0394674106714615","0.0708147733463213","Seward Park"
"494","AMWI","0.0481990742456286","0.00046171966211539","0.0295303496341614","0.160475366333704","0.853999365029639","Seward Park"
"495","ANHU","1.35837243534714","0.307369053395012","0.397533823726184","0.0496500944092323","1.17819492754167e-15","Seward Park"
"496","BAEA","0.0295750257883904","0.0187310378116183","0.0872467825326375","0.0581008325181765","0.133189002422022","Seward Park"
"497","BAOW","-0.979225786394109","0.00736703832489871","0.152805897539775","0.270917891950207","0.572733517210491","Seward Park"
"498","BARS","-0.744504141391912","0.1751346144952","-0.660987955591071","0.190827647080067","0.000532611140451471","Seward Park"
"499","BCCH","1.17129837873836","0.156733042419791","0.227342092283607","0.0435000008888142","1.72977865308294e-07","Seward Park"
"500","BEKI","0.634782319606712","0.00247688084047526","-0.0717739316857551","0.157134622353773","0.647838428511315","Seward Park"
"501","BEWR","3.15823616578511","0.00217415422469702","-0.0276446855787743","0.0431573504686546","0.521811408425918","Seward Park"
"502","BHCO","0.690633566339102","0.0996359343901725","-0.629774329604546","0.266440225415112","0.0180953695170123","Seward Park"
"503","BHGR","-0.503004342642571","0.00101434475529216","0.0543367337079424","0.238249819785151","0.819594767484439","Seward Park"
"504","BRCR","2.48332245156895","0.142203153859317","0.254024628285285","0.0480591415057769","1.25247409006376e-07","Seward Park"
"505","BTPI","-0.77271089125671","0.103312292467764","-0.400086601381164","0.142851844203075","0.00509903046961818","Seward Park"
"506","BTYW","-0.0606442414857671","0.178431577665952","0.713955550897427","0.203711380117976","0.000457052320392554","Seward Park"
